gsm,patient,timepoint,mirna_names,expression
GSM1688442,J,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.63257085 1.92150884 2.13118701 ... 0.95578653 3.34069785 1.65299167]
GSM1688443,J,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.44952486 2.3085445  2.81016101 ... 1.55435274 3.66520343 1.47384328]
GSM1688444,J,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.49770275 2.13990859 2.14118028 ... 1.32283598 3.25374087 1.37230404]
GSM1688445,J,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.68059724 2.4351156  2.03203897 ... 1.35299621 2.93544897 1.33459742]
GSM1688446,J,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.67297839 2.4837515  1.9112066  ... 1.27839177 3.74173466 1.69871025]
GSM1688447,K,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.50830155 2.35392126 2.95706011 ... 1.50795783 3.24783071 1.03422802]
GSM1688448,K,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.42091562 2.13512059 2.38729785 ... 1.39567832 3.07876266 1.31073905]
GSM1688449,K,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.63147664 2.10595422 2.51751423 ... 0.99592797 2.41545607 1.37914118]
GSM1688450,K,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.90991088 2.33010677 2.19540559 ... 1.50634428 3.31206094 1.40323001]
GSM1688451,K,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.62070563 2.51004544 2.34564158 ... 1.43046411 2.35028239 1.16000696]
GSM1688452,K,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.69856056 2.27477757 2.48120423 ... 1.36822965 2.42303704 1.41630136]
GSM1688453,K,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.90413135 2.51495933 3.23857095 ... 1.50973976 2.92980168 1.29603523]
GSM1688454,K,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.8174443  2.33010677 2.73149845 ... 0.76026447 3.23004813 1.45211133]
GSM1688455,L,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.85248821 2.3467075  2.2870148  ... 1.37349297 2.48770775 1.19090628]
GSM1688456,L,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[2.08780058 2.68588327 4.04533792 ... 1.61447656 2.76928168 1.9543525 ]
GSM1688457,L,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.52043693 2.08593372 2.27772392 ... 1.39160902 3.18129748 1.25954666]
GSM1688458,L,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.76574729 2.15748308 2.12002448 ... 1.16023536 3.16826932 1.55740795]
GSM1688459,L,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.68884898 2.8818026  2.97882279 ... 1.53995359 2.48440685 1.38724766]
GSM1688460,L,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.63568733 2.14673841 2.13018936 ... 1.25644935 2.90470772 1.18697162]
